日期,星期几,天气,降雨量,事件,平均搜索指数（前一天）,截至前一天历史平均搜索指数
2018/8/25,周六,小雨,28,,946.09,874.58
2018/8/26,周日,雷阵雨~阵雨,16,,890.09,874.85
2018/8/27,周一,多云,0,,806.36,873.67
2018/8/28,周二,多云,0,,766.41,871.86
2018/8/29,周三,小雨~多云,0,,754.82,869.9
2018/8/30,周四,多云,0,,698.59,867.1
2018/8/31,周五,小雨~多云,4,,664.5,863.83
2018/9/1,周六,雷阵雨~多云,360,,627.32,860.07
2018/9/2,周日,中雨~阴,0,,564.05,855.45
2018/9/3,周一,阵雨,67,,500.64,849.99
2018/9/4,周二,阴~多云,0,,508.14,844.81
2018/9/5,周三,晴~多云,0,,529.82,840.11
2018/9/6,周四,小雨,0,,538.82,835.68
2018/9/7,周五,小雨,23,,554.5,831.6
2018/9/8,周六,小雨~多云,0,,556.82,827.68
2018/9/9,周日,多云,0,,609.73,824.61
2018/9/10,周一,多云~阵雨,0,教师节,605.95,821.57
2018/9/11,周二,小雨,0,,555.18,817.92
2018/9/12,周三,小雨,0,,587.82,814.81
2018/9/13,周四,小雨~阴,42,,590.64,811.82
2018/9/14,周五,多云,0,,635.27,809.5
2018/9/15,周六,多云,0,,783.05,809.16
2018/9/16,周日,中雨,98,,872.86,809.97
2018/9/17,周一,小雨,6,2018 世界人工智能大会,749.5,809.21
2018/9/18,周二,阵雨~阴,28,Jessie J-The R.O.S.E Tour 2018中国巡演,657.14,807.31
2018/9/19,周三,小雨~多云,129,,667.23,805.58
2018/9/20,周四,中雨,550,,660.59,803.81
2018/9/21,周五,小雨~阴,0,,650.27,801.96
2018/9/22,周六,小雨~阴,0,2018 上海国际大众体育节、许茹芸-《绽放的绽放的绽放 Freyja》巡回演唱会、毛不易-“像我这样的人”全国巡回演唱会,740.36,801.23
2018/9/23,周日,多云,0,2018 上海邮轮旅游节开幕式暨花车宝山巡游,951.55,803
2018/9/24,周一,晴~多云,0,,1036.5,805.71
2018/9/25,周二,多云,0,,790.73,805.54
2018/9/26,周三,多云~小雨,0,,692.5,804.25
2018/9/27,周四,小雨~晴,0,,692.77,803
2018/9/28,周五,多云~晴,0,,739.18,802.29
2018/9/29,周六,多云~阴,0,,782.23,802.07
2018/9/30,周日,多云~晴,0,,904.68,803.19
